LANGUAGE,English,Polish
HVR_REFUEL_VEHICLE,Refuel vehicle,Zatankuj pojazd
HVR_REPAIR_VEHICLE,Repair vehicle,Napraw pojazd
HVR_PYLON_LOADOUTS,Configure weapons,Konfiguracja uzbrojenia
HVR_VEHICLE_SERVICE,Service of,Serwis pojazdu
HVR_PYLON_LOADOUTS_AMMO,Rearm pylons,Uzupełnij uzbrojenie na pylonach
HVR_BACK,Back,Powrót
HVR_CLOSE,Close,Zamknij
HVR_PYLON_LOADOUT_FOR,Pylon loadout for vehicle,Konfiguracja podwieszenia dla pojazdu
HVR_PYLON_LOADOUT_CHOOSE,Choose what you want on this pylon,Wybierz, co chcesz zamontować na podwieszeniu.
HVR_PYLON_CHOOSE,Choose which pylon you want to configure,Wybierz które podwieszenie chcesz konfigurować
HVR_VEHICLES_SERVICE,Vehicles service,Serwis pojazdów
HVR_CHOOSE_VEHICLE,Choose vehicle to service,Wybierz pojazd który chcesz serwisować
